T-1,T-2,T-3,T-24,T
5502.25224,6350.08356,6515.784,5551.82208,4931.2638
4931.2638,5502.25224,6350.08356,4983.17184,4775.53968
4775.53968,4931.2638,5502.25224,4888.3968,4713.8112
4713.8112,4775.53968,4931.2638,5072.95872,4689.02628
4689.02628,4713.8112,4775.53968,5196.2598,4844.7504
4844.7504,4689.02628,4713.8112,5641.2972,5571.46296
5571.46296,4844.7504,4689.02628,7153.17732,6150.71304
6150.71304,5571.46296,4844.7504,7849.80504,6296.30496
6296.30496,6150.71304,5571.46296,6329.97504,6515.16048
6515.16048,6296.30496,6150.71304,6292.8756,6269.64948
6269.64948,6515.16048,6296.30496,5349.8016,5607.0036
5607.0036,6269.64948,6515.16048,5225.40936,5932.7928
5932.7928,5607.0036,6269.64948,5000.47452,5675.5908
5675.5908,5932.7928,5607.0036,4775.53968,5675.27904
5675.27904,5675.5908,5932.7928,6177.05676,5435.5356
5435.5356,5675.27904,5675.5908,6177.05676,5572.71
5572.71,5435.5356,5675.27904,6155.7012,6023.2032
6023.2032,5572.71,5435.5356,6212.12976,6110.496
6110.496,6023.2032,5572.71,7424.25264,7951.75056
7951.75056,6110.496,6023.2032,7407.4176,8013.0114
8013.0114,7951.75056,6110.496,7068.22272,7591.82364
7591.82364,8013.0114,7951.75056,6515.784,7088.17536
7088.17536,7591.82364,8013.0114,6350.08356,6477.12576
6477.12576,7088.17536,7591.82364,5502.25224,5848.6176
5848.6176,6477.12576,7088.17536,4931.2638,5460.4764
5460.4764,5848.6176,6477.12576,4775.53968,5097.89952
5097.89952,5460.4764,5848.6176,4713.8112,5062.9824
5062.9824,5097.89952,5460.4764,4689.02628,5080.44096
5080.44096,5062.9824,5097.89952,4844.7504,5324.8608
5324.8608,5080.44096,5062.9824,5571.46296,5970.82752
5970.82752,5324.8608,5080.44096,6150.71304,6477.12576
6477.12576,5970.82752,5324.8608,6296.30496,6635.8116
6635.8116,6477.12576,5970.82752,6515.16048,6635.8116
6635.8116,6635.8116,6477.12576,6269.64948,6371.595
6371.595,6635.8116,6635.8116,5607.0036,6303.63132
6303.63132,6371.595,6635.8116,5932.7928,6447.1968
6447.1968,6303.63132,6371.595,5675.5908,6104.2608
6104.2608,6447.1968,6303.63132,5675.27904,5778.4716
5778.4716,6104.2608,6447.1968,5435.5356,5865.60852
5865.60852,5778.4716,6104.2608,5572.71,5847.0588
5847.0588,5865.60852,5778.4716,6023.2032,6104.2608
6104.2608,5847.0588,5865.60852,6110.496,6704.3988
6704.3988,6104.2608,5847.0588,7951.75056,7510.2984
7510.2984,6704.3988,6104.2608,8013.0114,7995.0852
7995.0852,7510.2984,6704.3988,7591.82364,7641.2376
7641.2376,7995.0852,7510.2984,7088.17536,5918.45184
5918.45184,7641.2376,7995.0852,6477.12576,6394.04172
6394.04172,5918.45184,7641.2376,5848.6176,5813.70048
5813.70048,6394.04172,5918.45184,5460.4764,5619.00636
5619.00636,5813.70048,6394.04172,5097.89952,5384.40696
5384.40696,5619.00636,5813.70048,5062.9824,5052.38256
5052.38256,5384.40696,5619.00636,5080.44096,5277.3174
5277.3174,5052.38256,5384.40696,5324.8608,5709.8844
5709.8844,5277.3174,5052.38256,5970.82752,6481.4904
6481.4904,5709.8844,5277.3174,6477.12576,7272.73728
7272.73728,6481.4904,5709.8844,6635.8116,7390.2708
7390.2708,7272.73728,6481.4904,6635.8116,7192.92672
7192.92672,7390.2708,7272.73728,6371.595,6412.9032
6412.9032,7192.92672,7390.2708,6303.63132,6464.3436
6464.3436,6412.9032,7192.92672,6447.1968,6395.7564
6395.7564,6464.3436,6412.9032,6104.2608,4903.9848
4903.9848,6395.7564,6464.3436,5778.4716,6292.8756
6292.8756,4903.9848,6395.7564,5865.60852,6052.8204
6052.8204,6292.8756,4903.9848,5847.0588,6052.8204
6052.8204,6052.8204,6292.8756,6104.2608,6121.4076
6121.4076,6052.8204,6052.8204,6704.3988,6052.8204
6052.8204,6121.4076,6052.8204,7510.2984,8110.4364
8110.4364,6052.8204,6121.4076,7995.0852,8196.1704
8196.1704,8110.4364,6052.8204,7641.2376,8045.7462
8045.7462,8196.1704,8110.4364,5918.45184,7786.206
7786.206,8045.7462,8196.1704,6394.04172,6746.33052
6746.33052,7786.206,8045.7462,5813.70048,5935.9104
5935.9104,6746.33052,7786.206,5619.00636,5447.07072
5447.07072,5935.9104,6746.33052,5384.40696,4713.8112
4713.8112,5447.07072,5935.9104,5052.38256,5002.50096
5002.50096,4713.8112,5447.07072,5277.3174,5037.72984
5037.72984,5002.50096,4713.8112,5709.8844,5865.60852
5865.60852,5037.72984,5002.50096,6481.4904,5984.2332
5984.2332,5865.60852,5037.72984,7272.73728,7474.75776
7474.75776,5984.2332,5865.60852,7390.2708,7205.39712
7205.39712,7474.75776,5984.2332,7192.92672,6548.83056
6548.83056,7205.39712,7474.75776,6412.9032,6001.38
6001.38,6548.83056,7205.39712,6464.3436,6310.0224
6310.0224,6001.38,6548.83056,6395.7564,5864.2056
5864.2056,6310.0224,6001.38,4903.9848,6031.7766
6031.7766,5864.2056,6310.0224,6292.8756,4764.31632
4764.31632,6031.7766,5864.2056,6052.8204,4730.64624
4730.64624,4764.31632,6031.7766,6052.8204,5774.41872
5774.41872,4730.64624,4764.31632,6121.4076,6228.9648
6228.9648,5774.41872,4730.64624,6052.8204,6464.65536
6464.65536,6228.9648,5774.41872,8110.4364,7518.0924
7518.0924,6464.65536,6228.9648,8196.1704,8013.7908
8013.7908,7518.0924,6464.65536,8045.7462,6366.9186
6366.9186,8013.7908,7518.0924,7786.206,6824.11464
6824.11464,6366.9186,8013.7908,6746.33052,5915.33424
5915.33424,6824.11464,6366.9186,5935.9104,5900.21388
5900.21388,5915.33424,6824.11464,5447.07072,5761.3248
5761.3248,5900.21388,5915.33424,4713.8112,5726.40768
5726.40768,5761.3248,5900.21388,5002.50096,6024.13848
6024.13848,5726.40768,5761.3248,5037.72984,6599.33568
6599.33568,6024.13848,5726.40768,5865.60852,5534.36352
5534.36352,6599.33568,6024.13848,5984.2332,6267.62304
6267.62304,5534.36352,6599.33568,7474.75776,7482.520584
7482.520584,6267.62304,5534.36352,7205.39712,5895.319248
5895.319248,7482.520584,6267.62304,6548.83056,6429.613536
6429.613536,5895.319248,7482.520584,6001.38,6094.28448
6094.28448,6429.613536,5895.319248,6310.0224,5709.8844
5709.8844,6094.28448,6429.613536,5864.2056,5912.84016
5912.84016,5709.8844,6094.28448,6031.7766,6001.38
6001.38,5912.84016,5709.8844,4764.31632,5799.484224
5799.484224,6001.38,5912.84016,4730.64624,5851.11168
5851.11168,5799.484224,6001.38,5774.41872,6040.412352
6040.412352,5851.11168,5799.484224,6228.9648,7479.20034
7479.20034,6040.412352,5851.11168,6464.65536,7373.124
7373.124,7479.20034,6040.412352,7518.0924,7630.326
7630.326,7373.124,7479.20034,8013.7908,7476.0048
7476.0048,7630.326,7373.124,6366.9186,6660.44064
6660.44064,7476.0048,7630.326,6824.11464,6082.74936
6082.74936,6660.44064,7476.0048,5915.33424,6292.56384
6292.56384,6082.74936,6660.44064,5900.21388,6847.8084
6847.8084,6292.56384,6082.74936,5761.3248,5636.6208
5636.6208,6847.8084,6292.56384,5726.40768,5307.40224
5307.40224,5636.6208,6847.8084,6024.13848,5242.71204
5242.71204,5307.40224,5636.6208,6599.33568,5260.01472
5260.01472,5242.71204,5307.40224,5534.36352,5829.912
5829.912,5260.01472,5242.71204,6267.62304,6930.4248
6930.4248,5829.912,5260.01472,7482.520584,7897.03668
7897.03668,6930.4248,5829.912,5895.319248,7584.18552
7584.18552,7897.03668,6930.4248,6429.613536,4847.24448
4847.24448,7584.18552,7897.03668,6094.28448,5933.41632
5933.41632,4847.24448,7584.18552,5709.8844,6014.47392
6014.47392,5933.41632,4847.24448,5912.84016,5898.4992
5898.4992,6014.47392,5933.41632,6001.38,6138.5544
6138.5544,5898.4992,6014.47392,5799.484224,6001.38
6001.38,6138.5544,5898.4992,5851.11168,5744.48976
5744.48976,6001.38,6138.5544,6040.412352,5709.8844
5709.8844,5744.48976,6001.38,7479.20034,6073.24068
6073.24068,5709.8844,5744.48976,7373.124,6807.2796
6807.2796,6073.24068,5709.8844,7630.326,7818.9408
7818.9408,6807.2796,6073.24068,7476.0048,7870.3812
7870.3812,7818.9408,6807.2796,6660.44064,7716.99528
7716.99528,7870.3812,7818.9408,6082.74936,7094.0988
7094.0988,7716.99528,7870.3812,6292.56384,6384.68892
6384.68892,7094.0988,7716.99528,6847.8084,5640.67368
5640.67368,6384.68892,7094.0988,5636.6208,5346.52812
5346.52812,5640.67368,6384.68892,5307.40224,5138.89596
5138.89596,5346.52812,5640.67368,5242.71204,4940.77248
4940.77248,5138.89596,5346.52812,5260.01472,4766.18688
4766.18688,4940.77248,5138.89596,5829.912,5020.1154
5020.1154,4766.18688,4940.77248,6930.4248,5588.76564
5588.76564,5020.1154,4766.18688,7897.03668,6436.59696
6436.59696,5588.76564,5020.1154,7584.18552,6978.7476
6978.7476,6436.59696,5588.76564,4847.24448,6643.44972
6643.44972,6978.7476,6436.59696,5933.41632,3907.9116
3907.9116,6643.44972,6978.7476,6014.47392,7154.892
7154.892,3907.9116,6643.44972,5898.4992,6498.32544
6498.32544,7154.892,3907.9116,6138.5544,6414.15024
6414.15024,6498.32544,7154.892,6001.38,7272.11376
7272.11376,6414.15024,6498.32544,5744.48976,8264.7576
8264.7576,7272.11376,6414.15024,5709.8844,8058.996
8058.996,8264.7576,7272.11376,6073.24068,7751.60064
7751.60064,8058.996,8264.7576,6807.2796,7267.1256
7267.1256,7751.60064,8058.996,7818.9408,6523.11036
6523.11036,7267.1256,7751.60064,7870.3812,5761.79244
5761.79244,6523.11036,7267.1256,7716.99528,5363.8308
5363.8308,5761.79244,6523.11036,7094.0988,5104.2906
5104.2906,5363.8308,5761.79244,6384.68892,4993.14816
4993.14816,5104.2906,5363.8308,5640.67368,5202.65088
5202.65088,4993.14816,5104.2906,5346.52812,5761.3248
5761.3248,5202.65088,4993.14816,5138.89596,5988.28608
5988.28608,5761.3248,5202.65088,4940.77248,6197.7888
6197.7888,5988.28608,5761.3248,4766.18688,6424.75008
6424.75008,6197.7888,5988.28608,5020.1154,6644.22912
6644.22912,6424.75008,6197.7888,5588.76564,6626.4588
6626.4588,6644.22912,6424.75008,6436.59696,6847.34076
6847.34076,6626.4588,6644.22912,6978.7476,6354.60408
6354.60408,6847.34076,6626.4588,6643.44972,6354.60408
6354.60408,6354.60408,6847.34076,3907.9116,6150.71304
6150.71304,6354.60408,6354.60408,7154.892,5827.88556
5827.88556,6150.71304,6354.60408,6498.32544,5929.83108
5929.83108,5827.88556,6150.71304,6414.15024,6127.95456
6127.95456,5929.83108,5827.88556,7272.11376,6843.75552
6843.75552,6127.95456,5929.83108,8264.7576,8063.04888
8063.04888,6843.75552,6127.95456,8058.996,8063.04888
8063.04888,8063.04888,6843.75552,7751.60064,8063.04888
8063.04888,8063.04888,8063.04888,7267.1256,6955.67736
6955.67736,8063.04888,8063.04888,6523.11036,6687.252
6687.252,6955.67736,8063.04888,5761.79244,5709.8844
5709.8844,6687.252,6955.67736,5363.8308,5554.16028
5554.16028,5709.8844,6687.252,5104.2906,5450.3442
5450.3442,5554.16028,5709.8844,4993.14816,5294.62008
5294.62008,5450.3442,5554.16028,5202.65088,5208.10668
5208.10668,5294.62008,5450.3442,5761.3248,5260.01472
5260.01472,5208.10668,5294.62008,5988.28608,5420.88288
5420.88288,5260.01472,5208.10668,6197.7888,6094.28448
6094.28448,5420.88288,5260.01472,6424.75008,6683.51088
6683.51088,6094.28448,5420.88288,6644.22912,6717.18096
6717.18096,6683.51088,6094.28448,6626.4588,6750.85104
6750.85104,6717.18096,6683.51088,6847.34076,6835.02624
6835.02624,6750.85104,6717.18096,6354.60408,6919.20144
6919.20144,6835.02624,6750.85104,6354.60408,6700.34592
6700.34592,6919.20144,6835.02624,6150.71304,6447.82032
6447.82032,6700.34592,6919.20144,5827.88556,6422.56776
6422.56776,6447.82032,6700.34592,5929.83108,6456.5496
6456.5496,6422.56776,6447.82032,6127.95456,6354.60408
